URL,Tipo,Categoria,Title,Estado_HTTP,Canonical,Robots,Indexable
https://www.calculaperu.com.pe/,Portada,General,"Calculadoras Perú 2026: sueldo, IGV, negocios y finanzas | CalculaPerú",200 OK,https://www.calculaperu.com.pe/,index follow,Si
https://www.calculaperu.com.pe/cotizador,Herramienta Demo,Negocios,"Cotizador Comercial para MYPES (Demo Interactiva) | CalculaPerú",200 OK,https://www.calculaperu.com.pe/cotizador,index follow,Si
https://www.calculaperu.com.pe/pro,Suscripción PRO,General,"CalculaPerú PRO: suite para negocios y profesionales | CalculaPerú",200 OK,https://www.calculaperu.com.pe/pro,index follow,Si
https://www.calculaperu.com.pe/pro/beneficios,Guía PRO,General,"Beneficios y Guía de Calculadoras PRO | CalculaPerú",200 OK,https://www.calculaperu.com.pe/pro/beneficios,index follow,Si
https://www.calculaperu.com.pe/sobre-nosotros,Institucional,General,"Sobre Nosotros y Contacto | CalculaPerú",200 OK,https://www.calculaperu.com.pe/sobre-nosotros,index follow,Si
https://www.calculaperu.com.pe/contacto,Soporte,General,"Contacto y Soporte | CalculaPerú",200 OK,https://www.calculaperu.com.pe/contacto,index follow,Si
https://www.calculaperu.com.pe/politica-de-privacidad,Legal,General,"Política de Privacidad | CalculaPerú",200 OK,https://www.calculaperu.com.pe/politica-de-privacidad,index follow,Si
https://www.calculaperu.com.pe/terminos-y-condiciones,Legal,General,"Términos y Condiciones | CalculaPerú",200 OK,https://www.calculaperu.com.pe/terminos-y-condiciones,index follow,Si
https://www.calculaperu.com.pe/precio-de-venta,Calculadora,negocios,"Calculadora de Precio de Venta Sugerido | CalculaPerú",200 OK,https://www.calculaperu.com.pe/precio-de-venta,index follow,Si
https://www.calculaperu.com.pe/margen-de-ganancia,Calculadora,negocios,"Calculadora de Margen de Ganancia y Mark-up | CalculaPerú",200 OK,https://www.calculaperu.com.pe/margen-de-ganancia,index follow,Si
https://www.calculaperu.com.pe/descuentos-y-ofertas,Calculadora,negocios,"Calculadora de Descuentos y Rebajas Sucesivas | CalculaPerú",200 OK,https://www.calculaperu.com.pe/descuentos-y-ofertas,index follow,Si
https://www.calculaperu.com.pe/ganancia-por-producto,Calculadora,negocios,"Calculadora de Ganancia por Producto y Lote | CalculaPerú",200 OK,https://www.calculaperu.com.pe/ganancia-por-producto,index follow,Si
