Grupo_Consulta,Intencion,Pais,URL_Objetivo,Diferenciacion_Clave,Estado
"calculadora sueldo neto peru; calcular sueldo bruto a neto",Transaccional/Informativa,PE,https://www.calculaperu.com.pe/sueldo-neto,"Desglose completo boleta, 12.92% flujo vs 11.37% saldo AFP, Asignacion Familiar S/ 113, retencion 5ta 2026",Verificado
"calcular CTS peru; calcular cts semestre incompleto",Transaccional/Informativa,PE,https://www.calculaperu.com.pe/calculadora-cts,"Periodos semestrales (mayo/nov), proporcionalidad y conceptos computables",Verificado
"calculadora gratificacion peru; calcular gratificacion julio diciembre",Transaccional/Informativa,PE,https://www.calculaperu.com.pe/gratificacion,"Bonificacion extraordinaria 9% EsSalud / 6.75% EPS, meses completos y dias",Verificado
"calcular horas extras peru; recargo 25% y 35%",Transaccional/Informativa,PE,https://www.calculaperu.com.pe/horas-extras,"Diferenciacion primeras 2 horas (25%) y restantes (35%), valor hora computable",Verificado
"vacaciones truncas peru calculadora; descanso vacacional no gozado",Transaccional/Informativa,PE,https://www.calculaperu.com.pe/calculadora-vacaciones,"Calculo de 30 dias de ley, fraccionamiento y vacaciones truncas por cese",Verificado
"liquidacion laboral peru calculadora; beneficios truncos cese",Transaccional/Informativa,PE,https://www.calculaperu.com.pe/liquidacion-laboral,"Integracion de CTS trunca, gratificacion trunca y vacaciones truncas sin duplicidad",Verificado
"calcular IGV; sacar IGV de un total peru",Transaccional/Informativa,PE,https://www.calculaperu.com.pe/calculadora-igv,"Calculo bidireccional (agregar 18% o desglosar base imponible y tributo)",Verificado
"margen de ganancia versus markup; margen sobre ventas",Informativa/Herramienta,PE,https://www.calculaperu.com.pe/margen-de-ganancia,"Diferencia matematica explicita entre margen real y recargo sobre costo",Verificado
"precio de venta sugerido; fijar precios mype",Transaccional/Herramienta,PE,https://www.calculaperu.com.pe/precio-de-venta,"Consideracion de costos directos, margen neto objetivo, comisiones POS e IGV",Verificado
"punto de equilibrio; costos fijos y variables unidades",Herramienta/Educativa,PE,https://www.calculaperu.com.pe/punto-de-equilibrio,"Grafica de equilibrio, unidades minimas a vender y volumen de facturacion",Verificado
"recibo por honorarios calculadora; retencion 4ta categoria 8%",Transaccional/Informativa,PE,https://www.calculaperu.com.pe/recibo-por-honorarios,"Umbral de suspension S/ 1,500, retencion 8% y calculo neto a cobrar",Verificado
"dolar a soles hoy; tipo de cambio sbs bcrp",Transaccional/Actualizada,PE,https://www.calculaperu.com.pe/tipo-de-cambio-dolar-sunat,"Cotizacion mercado actualizada y referencia oficial SBS/BCRP con fecha visible",Verificado
